Prec [mm],ET [mm/h],T [C],Q [m3/s],LAT [C]
0,0.052541667,2.924,0.295,11.63065417
0,0.052541667,10.26,0.3135,11.63065417
0,0.052541667,10.3,0.3285,11.63065417
0.029,0.072,10.29,0.315,11.63065417
0.017,0.072,10.32,0.29175,11.63065417
0.051,0.072,11.03,0.27025,11.63065417
0,0.072,10.63,0.25525,11.63065417
0,0.072,10.29,0.2455,11.63065417
0,0.072,10.96,0.239,11.63065417
0,0.072,11.41,0.239,11.63065417
0,0.052541667,12.55,0.24025,11.63065417
0,0.052541667,13.2,0.24975,11.63065417
0,0.052541667,14.28,0.2635,11.63065417
0,0.052541667,13.72,0.2635,11.63065417
0,0.052541667,15.18,0.258,11.63065417
0,0.052541667,14.16,0.255,11.63065417
0,0.052541667,13.97,0.255,11.63065417
0,0.052541667,13.61,0.2525,11.63065417
0,0.052541667,10.72,0.25,11.63065417
0,0.052541667,6.984,0.247,11.63065417
0,0.052541667,6.01,0.244,11.63065417
0,0.052541667,5.391,0.247,11.63065417
0,0.052541667,4.078,0.25,11.63065417
0,0.072,3.266,0.25,11.63065417
0,0.072,9.13,0.25,11.63065417
0,0.072,3.146,0.25,11.63065417
0,0.072,4.283,0.25,11.63065417
0,0.040625,5.913,0.25,11.63065417
0,0.040625,5.82,0.25,11.63065417
0,0.040625,5.027,0.25,11.63065417
0,0.040625,4.037,0.25,11.63065417
0,0.040625,5.418,0.25,11.63065417
0,0.040625,8.87,0.25,11.63065417
0,0.040625,9.49,0.25,11.63065417
0,0.072,10.03,0.25,11.63065417
0,0.072,10.51,0.25,11.63065417
0,0.072,11.52,0.25,11.63065417
0,0.072,12.83,0.25,11.63065417
0,0.072,13.42,0.2485,11.63065417
0,0.072,13.15,0.244,11.63065417
0,0.072,12.45,0.244,11.63065417
0,0.072,12.09,0.2415,11.63065417
0,0.072,10.93,0.239,11.63065417
0,0.072,9.39,0.24025,11.63065417
0,0.072,8.77,0.244,11.63065417
0,0.072,7.5,0.244,11.63065417
0,0.072,9.36,0.247,11.63065417
0,0.040625,9.07,0.25,11.63065417
0,0.040625,7.83,0.25,11.63065417
